claim_id,policy_id,date_of_loss,report_date,segment,product_line,incurred_amount,paid_amount,outstanding_amount,status,period_month
CLM-2024-00000,POL-3892,2024-06-04,2024-06-27,Casualty,QuotaShare,1993.27,1946.3,46.97000000000003,Open,6
CLM-2024-00001,POL-4385,2024-12-03,2024-12-04,Aviation,StopLoss,1208.49,129.86,1078.63,Open,12
CLM-2024-00002,POL-9550,2024-06-04,2024-08-06,Life,StopLoss,6573.72,1429.44,5144.280000000001,Open,6
CLM-2024-00003,POL-7392,2024-10-31,2024-12-20,Life,ExcessOfLoss,1353.69,358.9,994.7900000000001,Open,10
CLM-2024-00004,POL-5156,2024-10-19,2025-01-15,Marine,QuotaShare,2012.49,456.77,1555.72,Open,10
CLM-2024-00005,POL-3736,2024-02-05,2024-04-06,Casualty,ExcessOfLoss,13119.83,10028.02,3091.8099999999995,Open,2
CLM-2024-00006,POL-8016,2024-09-02,2024-11-22,Aviation,StopLoss,1498.11,362.07,1136.04,Open,9
CLM-2024-00007,POL-5864,2024-07-26,2024-08-15,Aviation,StopLoss,4155.71,1644.83,2510.88,Open,7
CLM-2024-00008,POL-7604,2024-11-27,2025-01-12,Marine,ExcessOfLoss,865.72,43.99,821.73,Open,11
CLM-2024-00009,POL-1853,2024-10-29,2024-12-31,Marine,StopLoss,8472.26,4391.96,4080.3,Open,10
CLM-2024-00010,POL-8993,2024-09-22,2024-09-29,Aviation,QuotaShare,8405.1,3401.76,5003.34,Open,9
CLM-2024-00011,POL-8171,2024-04-04,2024-05-24,Marine,QuotaShare,16856.93,10951.75,5905.18,Open,4
CLM-2024-00012,POL-7321,2024-07-24,2024-08-01,Casualty,ExcessOfLoss,40109.34,2865.9,37243.439999999995,Open,7
CLM-2024-00013,POL-1413,2024-04-20,2024-06-17,Marine,StopLoss,25920.89,22265.92,3654.970000000001,Open,4
CLM-2024-00014,POL-7887,2024-02-27,2024-03-20,Life,ExcessOfLoss,4849.75,1868.76,2980.99,Open,2
CLM-2024-00015,POL-3610,2024-07-24,2024-08-09,Property,StopLoss,57834.04,43251.18,14582.86,Open,7
