claim_id,policy_id,date_of_loss,report_date,segment,product_line,incurred_amount,paid_amount,outstanding_amount,status,period_month
CLM-2024-00000,POL-6036,2024-07-25,2024-08-17,Aviation,QuotaShare,4472.82,1415.56,3057.2599999999998,Open,7
CLM-2024-00001,POL-2410,2024-09-30,2024-11-11,Casualty,QuotaShare,1947.15,314.86,1632.29,Open,9
CLM-2024-00002,POL-8579,2024-11-01,2024-11-27,Casualty,QuotaShare,1527.59,854.57,673.0199999999999,Open,11
CLM-2024-00003,POL-8395,2024-08-01,2024-08-05,Aviation,StopLoss,8268.74,7697.62,571.1199999999999,Open,8
CLM-2024-00004,POL-5081,2024-05-14,2024-08-09,Casualty,StopLoss,7674.47,2341.94,5332.530000000001,Open,5
CLM-2024-00005,POL-1138,2024-09-20,2024-12-01,Casualty,StopLoss,2646.69,2196.01,450.67999999999984,Open,9
CLM-2024-00006,POL-7377,2024-05-06,2024-08-01,Property,QuotaShare,1702.35,852.29,850.06,Open,5
CLM-2024-00007,POL-2988,2024-03-05,2024-05-03,Property,ExcessOfLoss,4307.17,220.42,4086.75,Open,3
CLM-2024-00008,POL-8192,2024-11-30,2025-02-09,Marine,ExcessOfLoss,14387.44,12717.99,1669.4500000000007,Open,11
CLM-2024-00009,POL-2344,2024-03-08,2024-03-19,Casualty,QuotaShare,14996.76,10643.87,4352.889999999999,Open,3
CLM-2024-00010,POL-7161,2024-05-16,2024-08-01,Life,StopLoss,3993.83,2899.69,1094.1399999999999,Open,5
CLM-2024-00011,POL-3124,2024-01-23,2024-02-08,Life,ExcessOfLoss,5471.19,1839.42,3631.7699999999995,Open,1
CLM-2024-00012,POL-3003,2024-06-04,2024-08-17,Life,QuotaShare,47615.9,2920.35,44695.55,Open,6
CLM-2024-00013,POL-4603,2024-01-08,2024-03-04,Life,QuotaShare,72234.37,574.06,71660.31,Open,1
CLM-2024-00014,POL-7426,2024-08-28,2024-10-24,Property,StopLoss,43304.53,8794.64,34509.89,Open,8
CLM-2024-00015,POL-2813,2024-07-29,2024-08-07,Marine,ExcessOfLoss,205784.26,193.79,205590.47,Open,7
CLM-2024-00016,POL-1576,2024-12-17,2025-03-15,Casualty,QuotaShare,22892.68,6220.31,16672.37,Open,12
CLM-2024-00017,POL-1510,2024-10-21,2024-12-09,Casualty,StopLoss,3288.53,1671.11,1617.4200000000003,Open,10
CLM-2024-00018,POL-4229,2024-09-15,2024-10-09,Property,QuotaShare,1721.71,1653.68,68.02999999999997,Open,9
CLM-2024-00019,POL-2704,2024-07-23,2024-09-13,Life,QuotaShare,6104.1,2583.79,3520.3100000000004,Open,7
CLM-2024-00020,POL-6686,2024-08-23,2024-09-27,Aviation,QuotaShare,16242.54,12589.88,3652.6600000000017,Open,8
CLM-2024-00021,POL-3855,2024-01-17,2024-04-07,Property,StopLoss,20390.55,2952.07,17438.48,Open,1
CLM-2024-00022,POL-3281,2024-04-25,2024-05-16,Marine,StopLoss,3704.74,661.26,3043.4799999999996,Open,4
CLM-2024-00023,POL-1705,2024-05-24,2024-06-02,Casualty,StopLoss,2427.09,730.46,1696.63,Open,5
CLM-2024-00024,POL-4782,2024-08-13,2024-08-24,Life,StopLoss,1372.47,591.87,780.6,Open,8
CLM-2024-00025,POL-3195,2024-06-25,2024-08-06,Marine,ExcessOfLoss,18793.6,8793.56,10000.039999999999,Open,6
CLM-2024-00026,POL-2378,2024-08-18,2024-11-11,Aviation,ExcessOfLoss,15279.18,633.06,14646.12,Open,8
CLM-2024-00027,POL-5344,2024-11-23,2024-12-17,Casualty,ExcessOfLoss,9108.94,2149.74,6959.200000000001,Open,11
CLM-2024-00028,POL-2210,2024-11-06,2024-12-26,Marine,StopLoss,2723.15,2271.42,451.73,Open,11
CLM-2024-00029,POL-6752,2024-06-07,2024-08-22,Casualty,ExcessOfLoss,143.18,111.89,31.290000000000006,Open,6
CLM-2024-00030,POL-4031,2024-07-25,2024-07-30,Casualty,ExcessOfLoss,4536347.11,3798173.26,738173.8500000006,Open,7
CLM-2024-00031,POL-9484,2024-10-16,2024-11-13,Aviation,QuotaShare,18216.41,18005.23,211.1800000000003,Open,10
CLM-2024-00032,POL-2971,2024-04-20,2024-06-03,Aviation,StopLoss,16626.2,4384.24,12241.960000000001,Open,4
CLM-2024-00033,POL-6884,2024-09-05,2024-09-28,Life,StopLoss,2018.49,1782.48,236.01,Open,9
CLM-2024-00034,POL-9634,2024-04-04,2024-04-07,Property,QuotaShare,982.12,579.59,402.53,Open,4
CLM-2024-00035,POL-8802,2024-06-14,2024-07-30,Life,ExcessOfLoss,4020.38,3442.2,578.1800000000003,Open,6
CLM-2024-00036,POL-7139,2024-12-19,2025-02-14,Property,StopLoss,266.86,46.71,220.15,Open,12
CLM-2024-00037,POL-2801,2024-04-22,2024-05-02,Life,ExcessOfLoss,11557.64,3197.83,8359.81,Open,4
CLM-2024-00038,POL-4517,2024-08-31,2024-11-14,Aviation,ExcessOfLoss,33087.64,14966.03,18121.61,Open,8
CLM-2024-00039,POL-6178,2024-10-04,2024-11-15,Aviation,ExcessOfLoss,8922.78,5747.59,3175.1900000000005,Open,10
CLM-2024-00040,POL-8477,2024-05-12,2024-06-06,Property,ExcessOfLoss,1081.87,1003.26,78.6099999999999,Open,5
CLM-2024-00041,POL-4882,2024-02-27,2024-04-08,Property,StopLoss,17632.91,4744.74,12888.17,Open,2
CLM-2024-00042,POL-4672,2024-09-13,2024-10-01,Life,QuotaShare,9879.02,6230.15,3648.870000000001,Open,9
CLM-2024-00043,POL-3376,2024-01-29,2024-04-14,Property,StopLoss,6921.23,91.39,6829.839999999999,Open,1
CLM-2024-00044,POL-6768,2024-12-12,2025-01-02,Property,StopLoss,6503.56,6098.91,404.65000000000055,Open,12
CLM-2024-00045,POL-8459,2024-02-10,2024-02-17,Marine,ExcessOfLoss,1706.25,101.25,1605.0,Open,2
CLM-2024-00046,POL-3119,2024-02-15,2024-05-07,Casualty,StopLoss,137275.86,30834.06,106441.79999999999,Open,2
CLM-2024-00047,POL-3885,2024-09-05,2024-09-17,Casualty,ExcessOfLoss,8411.07,7016.71,1394.3599999999997,Open,9
CLM-2024-00048,POL-2729,2024-04-24,2024-05-30,Life,ExcessOfLoss,12895.01,6242.52,6652.49,Open,4
CLM-2024-00049,POL-4454,2024-09-11,2024-10-16,Casualty,QuotaShare,3857.81,2934.97,922.8400000000001,Open,9
CLM-2024-00050,POL-2603,2024-11-29,2024-12-24,Property,QuotaShare,6274.07,2192.98,4081.0899999999997,Open,11
CLM-2024-00051,POL-1826,2024-08-14,2024-08-21,Casualty,ExcessOfLoss,5282.67,1451.02,3831.65,Open,8
CLM-2024-00052,POL-4082,2024-08-17,2024-09-08,Life,StopLoss,7060.06,6380.66,679.4000000000005,Open,8
CLM-2024-00053,POL-8298,2024-11-02,2024-12-25,Casualty,ExcessOfLoss,8741.26,5661.41,3079.8500000000004,Open,11
CLM-2024-00054,POL-3609,2024-06-17,2024-08-16,Casualty,StopLoss,5113.73,2278.97,2834.7599999999998,Open,6
CLM-2024-00055,POL-1060,2024-01-03,2024-01-18,Life,QuotaShare,3103.32,387.63,2715.69,Open,1
CLM-2024-00056,POL-2524,2024-01-23,2024-04-08,Life,QuotaShare,56225.25,19252.52,36972.729999999996,Open,1
CLM-2024-00057,POL-1275,2024-04-01,2024-05-14,Aviation,StopLoss,17693.38,14960.68,2732.7000000000007,Open,4
CLM-2024-00058,POL-8923,2024-09-04,2024-11-26,Life,StopLoss,51163.64,245.65,50917.99,Open,9
CLM-2024-00059,POL-6103,2024-08-30,2024-10-21,Property,ExcessOfLoss,3067.64,670.81,2396.83,Open,8
CLM-2024-00060,POL-1257,2024-10-04,2024-11-16,Property,ExcessOfLoss,650.08,610.83,39.25,Open,10
CLM-2024-00061,POL-4753,2024-05-30,2024-07-24,Casualty,QuotaShare,63075.32,3590.25,59485.07,Open,5
CLM-2024-00062,POL-5121,2024-02-22,2024-04-25,Marine,StopLoss,48467.58,47578.9,888.6800000000003,Open,2
CLM-2024-00063,POL-1793,2024-10-02,2024-11-04,Property,StopLoss,11671.4,8739.66,2931.74,Open,10
CLM-2024-00064,POL-5735,2024-11-18,2025-02-07,Casualty,QuotaShare,12087.6,7465.0,4622.6,Open,11
CLM-2024-00065,POL-2819,2024-04-25,2024-05-29,Marine,QuotaShare,26255.25,7460.65,18794.6,Open,4
CLM-2024-00066,POL-8405,2024-11-18,2025-01-03,Property,StopLoss,44254.3,6745.35,37508.950000000004,Open,11
CLM-2024-00067,POL-4110,2024-08-02,2024-10-18,Casualty,StopLoss,42984.34,9613.97,33370.369999999995,Open,8
CLM-2024-00068,POL-6504,2024-11-22,2024-12-12,Marine,ExcessOfLoss,47796.79,7183.13,40613.66,Open,11
CLM-2024-00069,POL-3360,2024-10-10,2025-01-03,Life,StopLoss,1769.99,528.66,1241.33,Open,10
CLM-2024-00070,POL-4985,2024-02-03,2024-03-04,Property,ExcessOfLoss,10538.21,5557.18,4981.029999999999,Open,2
CLM-2024-00071,POL-5911,2024-10-12,2024-12-22,Casualty,ExcessOfLoss,37985.58,16071.31,21914.270000000004,Open,10
CLM-2024-00072,POL-6562,2024-11-18,2024-12-20,Marine,ExcessOfLoss,4743.77,4394.65,349.1200000000008,Open,11
CLM-2024-00073,POL-2904,2024-03-28,2024-06-09,Life,ExcessOfLoss,21132.52,15250.8,5881.720000000001,Open,3
CLM-2024-00074,POL-8818,2024-07-12,2024-10-08,Marine,QuotaShare,6842.98,5299.18,1543.7999999999993,Open,7
CLM-2024-00075,POL-6615,2024-08-21,2024-10-28,Marine,ExcessOfLoss,2118.19,2075.02,43.17000000000007,Open,8
CLM-2024-00076,POL-7539,2024-08-11,2024-11-04,Life,ExcessOfLoss,12994.09,2742.98,10251.11,Open,8
CLM-2024-00077,POL-5508,2024-11-27,2024-12-23,Life,ExcessOfLoss,36865.02,23255.93,13609.089999999997,Open,11
CLM-2024-00078,POL-8292,2024-12-12,2025-03-01,Marine,StopLoss,11995.52,5163.34,6832.18,Open,12
CLM-2024-00079,POL-7896,2024-01-03,2024-01-06,Life,ExcessOfLoss,323.12,151.88,171.24,Open,1
CLM-2024-00080,POL-4836,2024-08-11,2024-08-25,Marine,ExcessOfLoss,6129.94,4093.48,2036.4599999999996,Open,8
CLM-2024-00081,POL-6250,2024-04-20,2024-06-13,Casualty,StopLoss,12536.98,6378.8,6158.179999999999,Open,4
CLM-2024-00082,POL-1716,2024-01-29,2024-03-25,Casualty,ExcessOfLoss,11593.68,594.18,10999.5,Open,1
CLM-2024-00083,POL-9259,2024-03-18,2024-05-05,Life,QuotaShare,726.36,409.19,317.17,Open,3
